1,1,1,AB,6271.379883,6271.5,3.103246,0,0.12,N/A,Not found
1,1,0,A,6271.5,6271.950195,0.236427,0.179657,0.4502,N/A,Not found
1,1,1,AB,6271.950195,6272.029785,2.706223,0,0.0798,1753.77063,0.5702
1,1,0,A,6272.029785,6282.72998,0.15644,0.287727,10.7,1886.79248,0.53
1,1,1,A,6282.72998,6282.879883,3.283754,0.032861,0.15,92.766098,10.7798
1,1,0,A,6282.879883,6312.709961,0.169702,0.271627,29.83,92.165901,10.85
1,1,1,A,6312.709961,6312.910156,3.675329,0.067485,0.2002,33.355572,29.98
1,1,0,A,6312.910156,6318.049805,0.223947,0.272432,5.1398,33.299812,30.030199
1,1,1,A,6318.049805,6318.5,4.554102,0.208915,0.45,187.265915,5.34
1,1,0,A,6318.5,6323.029785,0.240672,0.285129,4.53,178.897278,5.5898
1,1,1,A,6323.029785,6323.279785,4.01455,0.268868,0.25,200.803207,4.98
1,1,0,A,6323.279785,6324.049805,0.087537,0.269837,0.77,209.205017,4.78
1,1,1,A,6324.049805,6324.339844,4.163614,0.179112,0.29,980.392151,1.02
1,1,0,A,6324.339844,6325.22998,0.206839,0.24024,0.89,943.39624,1.06
1,1,1,A,6325.22998,6325.459961,3.78628,0.141489,0.23,847.457642,1.18
1,1,0,A,6325.459961,6325.850098,0.310818,0.100008,0.3901,892.857117,1.12
1,1,1,A,6325.850098,6326.410156,4.13288,0.182496,0.5601,1612.643066,0.6201
1,1,0,A,6326.410156,6329.129883,0.086077,0.264899,2.7198,1052.410034,0.9502
1,1,1,A,6329.129883,6329.52002,4.159107,0.215116,0.39,304.887329,3.2799
1,1,0,A,6329.52002,6330.27002,0.100241,0.152599,0.75,321.564087,3.1098
1,1,1,AB,6330.27002,6330.390137,2.953866,0,0.1201,877.192993,1.14
1,1,0,A,6330.390137,6333.660156,0.0395,0.178235,3.2701,1149.293213,0.8701
1,1,1,A,6333.660156,6333.839844,3.952049,0.077983,0.1798,294.967834,3.3902
1,1,0,A,6333.839844,6335.390137,0.357409,0.419833,1.5501,289.863464,3.4499
1,1,1,A,6335.390137,6335.75,4.395521,0.202027,0.3599,578.068115,1.7299
1,1,0,A,6335.75,6336.580078,-0.048713,0.244781,0.8301,523.560181,1.91
1,1,1,A,6336.580078,6336.870117,4.185726,0.167236,0.29,840.336121,1.19
1,1,0,A,6336.870117,6349.859863,0.018461,0.221251,12.9899,892.777405,1.1201
1,1,1,AB,6349.859863,6349.899902,2.197716,0,0.04,75.301773,13.2799
